SKU OG,SKU AC
brand15 sub_brand3 BOTELLA RETORNABLE 1000.0,PILSEN CTE BOTELLA RETORNABLE 1000.0
brand78 sub_brand2 BOTELLA NO RETORNABLE 750.0,ABBAYE D'AULNE T. BOTELLA NO RETORNABLE 750.0
brand7 sub_brand22 BOTELLA NO RETORNABLE 330.0,BOGOTA BEER COMPANY MONSERRATE BOTELLA NO RETORNABLE 330.0
brand33 sub_brand3 BOTELLA RETORNABLE 750.0,TECATE CTE BOTELLA RETORNABLE 750.0
brand88 sub_brand3 LATA NO RETORNABLE 355.0,POLAR CTE LATA NO RETORNABLE 355.0
brand1 sub_brand26 LATA NO RETORNABLE 330.0,CLUB COLOMBIA ROJA LATA NO RETORNABLE 330.0
brand39 sub_brand2 BOTELLA NO RETORNABLE 330.0,TORREMOLINOS T. BOTELLA NO RETORNABLE 330.0
brand15 sub_brand3 LATA NO RETORNABLE 355.0,PILSEN CTE LATA NO RETORNABLE 355.0
brand16 sub_brand20 LATA NO RETORNABLE 355.0,AGUILA 0 LATA NO RETORNABLE 355.0
brand20 sub_brand3 LATA NO RETORNABLE 330.0,HEINEKEN CTE LATA NO RETORNABLE 330.0
brand79 sub_brand2 BOTELLA NO RETORNABLE 500.0,SCHOFFERHOFER T. BOTELLA NO RETORNABLE 500.0
brand12 sub_brand21 BOTELLA RETORNABLE 330.0,POKER LIGERA BOTELLA RETORNABLE 330.0
brand26 sub_brand6 LATA NO RETORNABLE 269.0,CORONA CERO LATA NO RETORNABLE 269.0
brand17 sub_brand3 LATA NO RETORNABLE 310.0,SOL CTE LATA NO RETORNABLE 310.0
brand77 sub_brand2 LATA NO RETORNABLE 500.0,KARLSBRAU T. LATA NO RETORNABLE 500.0
brand33 sub_brand3 LATA NO RETORNABLE 355.0,TECATE CTE LATA NO RETORNABLE 355.0
brand1 sub_brand32 BOTELLA RETORNABLE 330.0,CLUB COLOMBIA OKTOBERFEST BOTELLA RETORNABLE 330.0
brand12 sub_brand3 BOTELLA RETORNABLE 750.0,POKER CTE BOTELLA RETORNABLE 750.0
brand22 sub_brand19 BOTELLA NO RETORNABLE 300.0,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 300.0
brand16 sub_brand41 BOTELLA RETORNABLE 330.0,AGUILA IMPERIAL BOTELLA RETORNABLE 330.0
brand45 sub_brand2 LATA NO RETORNABLE 269.0,BUDWEISER T. LATA NO RETORNABLE 269.0
brand25 sub_brand2 BARRIL NO RETORNABLE null.0,STELLA ARTOIS T. BARRIL NO RETORNABLE null.0
brand6 sub_brand2 LATA NO RETORNABLE 500.0,STOWFORD T. LATA NO RETORNABLE 500.0
brand22 sub_brand19 BOTELLA NO RETORNABLE 330.0,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 330.0
brand12 sub_brand3 BOTELLA NO RETORNABLE 330.0,POKER CTE BOTELLA NO RETORNABLE 330.0
brand13 sub_brand2 BOTELLA NO RETORNABLE 330.0,DUVEL T. BOTELLA NO RETORNABLE 330.0
brand15 sub_brand3 LATA NO RETORNABLE 473.0,PILSEN CTE LATA NO RETORNABLE 473.0
brand14 sub_brand3 BOTELLA RETORNABLE 750.0,ANDINA CTE BOTELLA RETORNABLE 750.0
brand46 sub_brand2 LATA NO RETORNABLE 330.0,OTRAS MARCAS T. LATA NO RETORNABLE 330.0
brand16 sub_brand3 BOTELLA RETORNABLE 250.0,AGUILA CTE BOTELLA RETORNABLE 250.0
brand1 sub_brand32 LATA NO RETORNABLE 330.0,CLUB COLOMBIA OKTOBERFEST LATA NO RETORNABLE 330.0
brand16 sub_brand6 BOTELLA RETORNABLE 330.0,AGUILA CERO BOTELLA RETORNABLE 330.0
brand19 sub_brand14 BOTELLA NO RETORNABLE 500.0,ERDINGER DUNKEL BOTELLA NO RETORNABLE 500.0
brand12 sub_brand3 LATA NO RETORNABLE 473.0,POKER CTE LATA NO RETORNABLE 473.0
brand78 sub_brand2 BOTELLA NO RETORNABLE 330.0,ABBAYE D'AULNE T. BOTELLA NO RETORNABLE 330.0
brand1 sub_brand7 LATA NO RETORNABLE 355.0,CLUB COLOMBIA NEGRA LATA NO RETORNABLE 355.0
brand45 sub_brand2 LATA NO RETORNABLE 355.0,BUDWEISER T. LATA NO RETORNABLE 355.0
brand34 sub_brand3 BOTELLA RETORNABLE 330.0,PL CTE BOTELLA RETORNABLE 330.0
brand7 sub_brand15 BARRIL NO RETORNABLE null.0,BOGOTA BEER COMPANY OTRAS BARRIL NO RETORNABLE null.0
brand46 sub_brand2 LATA NO RETORNABLE 355.0,OTRAS MARCAS T. LATA NO RETORNABLE 355.0
brand14 sub_brand5 LATA NO RETORNABLE 269.0,ANDINA LIGHT LATA NO RETORNABLE 269.0
