sku,reference_volume,reference_price
COSTENA BACANA LATA NO RETORNABLE 269.0,4560.867769,8246.247396
COSTENA BACANA LATA NO RETORNABLE 330.0,28917.14755,9257.112305
COSTENA BACANA LATA NO RETORNABLE 473.0,1074.072288,7996.980469
COSTENA CTE BOTELLA RETORNABLE 1000.0,29.80045286,3833.333333
COSTENA CTE BOTELLA RETORNABLE 330.0,101692.9653,6532.398112
COSTENA CTE BOTELLA RETORNABLE 750.0,55260.78561,5205.894206
COSTENA CTE LATA NO RETORNABLE 296.0,58.53349964,5249.763672
COSTENA CTE LATA NO RETORNABLE 330.0,14807.91336,5569.367025
COSTENITA CTE BOTELLA RETORNABLE 175.0,40210.55333,16011.78385
CUSQUENA CTE BOTELLA NO RETORNABLE 310.0,1.420595334,51398.99479
CUSQUENA CTE BOTELLA NO RETORNABLE 330.0,149.6799326,13415.00488
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,4708.474804,5971.262044
MICHELOB ULTRA CTE BOTELLA NO RETORNABLE 355.0,43.52380371,8800.439616
MICHELOB ULTRA CTE LATA NO RETORNABLE 269.0,902.148687,10629.84408
MODELO ESPECIAL BOTELLA NO RETORNABLE 355.0,682.6916371,17642.77279
NATIVA T. BOTELLA RETORNABLE 250.0,43.27549782,4809.056641
NATIVA T. BOTELLA RETORNABLE 330.0,11325.35967,5937.096354
PILSEN CTE BOTELLA RETORNABLE 1000.0,22908.03395,6876.017741
PILSEN CTE BOTELLA RETORNABLE 300.0,38.08415699,10653.00488
PILSEN CTE BOTELLA RETORNABLE 330.0,29949.86583,11297.68359
PILSEN CTE BOTELLA RETORNABLE 750.0,4.382904216,8414.47819
PILSEN CTE LATA NO RETORNABLE 330.0,2130.880794,8238.933431
PILSEN CTE LATA NO RETORNABLE 355.0,0.383277679,10281.14258
PILSEN CTE LATA NO RETORNABLE 473.0,11909.49893,8487.350586
POKER CTE BOTELLA NO RETORNABLE 330.0,305.3973914,7143.046387
POKER CTE BOTELLA RETORNABLE 1000.0,113288.0049,6296.467122
POKER CTE BOTELLA RETORNABLE 250.0,14727.8309,10087.49349
POKER CTE BOTELLA RETORNABLE 300.0,86.21205871,10253.1123
POKER CTE BOTELLA RETORNABLE 330.0,253822.6008,9542.738607
